create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-01-01 07:05:00,BTCUSDT,94750.3400000000000000,8302911290.7730790000000000,3.08960679,2.50480700,2.70230148,2.95157900
2026-01-01 07:10:00,BTCUSDT,94747.3290000000000000,8301629028.5776420000000000,3.09174929,2.50550200,2.70278019,0.54228400
2026-01-01 07:15:00,BTCUSDT,94785.3000000000000000,8306775164.3400000000000000,3.08992443,2.50708200,2.70142751,3.14857300
2026-01-01 07:20:00,BTCUSDT,94784.8980000000000000,8305807543.0741800000000000,3.09061135,2.50629100,2.70232334,0.67069300
2026-01-01 07:25:00,BTCUSDT,94792.1610000000000000,8301199722.0028930000000000,3.09137098,2.50668100,2.70261422,0.30871900
2026-01-01 07:30:00,BTCUSDT,94801.1270000000000000,8307589046.3696870000000000,3.08751836,2.50625900,2.70125120,1.65000800
2026-01-01 07:35:00,BTCUSDT,94830.4300000000000000,8308928480.0840000000000000,3.08874995,2.50306600,2.70362525,2.16362300
2026-01-01 07:40:00,BTCUSDT,94844.4740000000000000,8309156611.3199490000000000,3.09539418,2.50465400,2.70841266,0.60029400
2026-01-01 07:45:00,BTCUSDT,94843.0660000000000000,8309997694.0144000000000000,3.09606657,2.50486800,2.70891170,2.05441700
2026-01-01 07:50:00,BTCUSDT,94854.2130000000000000,8313032712.7413000000000000,3.09843165,2.50523500,2.71158854,1.89991700
2026-01-01 07:55:00,BTCUSDT,94803.7140000000000000,8305167684.8212020000000000,3.10370370,2.50686400,2.71576128,0.41559400
2026-01-01 08:00:00,BTCUSDT,94703.6660000000000000,8299696703.1076000000000000,3.10123177,2.52203600,2.71160101,1.89545400
2026-01-01 08:05:00,BTCUSDT,94727.5020000000000000,8316135289.0468310000000000,3.09964278,2.53847900,2.71674068,3.92380300
2026-01-01 08:10:00,BTCUSDT,94666.4190000000000000,8305206294.3596300000000000,3.10459001,2.54384000,2.72046959,0.92680000
2026-01-01 08:15:00,BTCUSDT,94663.5130000000000000,8302922521.5870800000000000,3.10805236,2.54416900,2.72284092,1.09415600
2026-01-01 08:20:00,BTCUSDT,94671.7650000000000000,8303381926.8770370000000000,3.10903427,2.54423600,2.72420625,1.39507200
2026-01-01 08:25:00,BTCUSDT,94672.6830000000000000,8303741025.9300000000000000,3.10833789,2.54440600,2.72444122,1.74501900
2026-01-01 08:30:00,BTCUSDT,94713.0990000000000000,8311055494.6302000000000000,3.10823549,2.54567900,2.72485264,3.71942900
2026-01-01 08:35:00,BTCUSDT,94731.8560000000000000,8309669998.2368000000000000,3.11109239,2.54634000,2.72612173,0.56776300
2026-01-01 08:40:00,BTCUSDT,94759.3480000000000000,8307201429.5724000000000000,3.11339598,2.54115500,2.72872135,0.45494000
2026-01-01 08:45:00,BTCUSDT,94763.8440000000000000,8310239488.5048000000000000,3.11215032,2.54042900,2.72753861,2.41623900
2026-01-01 08:50:00,BTCUSDT,94779.9660000000000000,8313482547.7410000000000000,3.11368714,2.54056600,2.72926440,1.73689300
2026-01-01 08:55:00,BTCUSDT,94790.2290000000000000,8317105529.9699940000000000,3.11617802,2.54029800,2.73106235,2.52713500
2026-01-01 09:00:00,BTCUSDT,94804.9210000000000000,8318923246.9238000000000000,3.11878430,2.54051700,2.73368999,2.11411400
2026-01-01 09:05:00,BTCUSDT,94822.5860000000000000,8323254272.0484300000000000,3.12386388,2.54197700,2.73721195,3.15729800
2026-01-01 09:10:00,BTCUSDT,94831.0740000000000000,8328320962.5798000000000000,3.12673494,2.54216800,2.74196602,2.68496600
2026-01-01 09:15:00,BTCUSDT,94839.5790000000000000,8337465532.5152340000000000,3.12439665,2.54879500,2.74535945,2.78819900
2026-01-01 09:20:00,BTCUSDT,94841.9260000000000000,8330886327.2622000000000000,3.11917449,2.54524200,2.73962255,0.50141000
2026-01-01 09:25:00,BTCUSDT,94837.5410000000000000,8326750488.3041940000000000,3.12100698,2.54254000,2.73965949,0.51400300
2026-01-01 09:30:00,BTCUSDT,94844.0130000000000000,8328059103.1830570000000000,3.11644414,2.54170100,2.73634423,1.15161800
2026-01-01 09:35:00,BTCUSDT,94844.8580000000000000,8331940570.0698000000000000,3.10931174,2.53910900,2.72794135,2.96208200
2026-01-01 09:40:00,BTCUSDT,94846.2410000000000000,8331527437.2778030000000000,3.10927879,2.53878500,2.72835713,0.98278300
2026-01-01 09:45:00,BTCUSDT,94847.2810000000000000,8330531537.5110000000000000,3.10449396,2.53814500,2.72311185,0.85702400
2026-01-01 09:50:00,BTCUSDT,94847.1040000000000000,8329609351.2271920000000000,3.10410174,2.53757300,2.72308621,0.98792400
2026-01-01 09:55:00,BTCUSDT,94850.6560000000000000,8332326582.0694420000000000,3.10160360,2.53557100,2.72305537,1.30784300
2026-01-01 10:00:00,BTCUSDT,94869.3040000000000000,8334031183.1400000000000000,3.10103093,2.53453900,2.72193391,2.01049000
2026-01-01 10:05:00,BTCUSDT,94870.6670000000000000,8332946061.8116000000000000,3.09917529,2.53300400,2.71951749,0.89451800
2026-01-01 10:10:00,BTCUSDT,94873.2320000000000000,8333048734.4212400000000000,3.09860755,2.53307500,2.71832276,0.91060600
2026-01-01 10:15:00,BTCUSDT,94877.3510000000000000,8329126759.4275340000000000,3.09556845,2.53253200,2.71357353,0.18098800
2026-01-01 10:20:00,BTCUSDT,94887.3720000000000000,8328245662.9656000000000000,3.09281513,2.53201500,2.70867108,0.49931100
2026-01-01 10:25:00,BTCUSDT,94930.2410000000000000,8337200950.7045000000000000,3.08723199,2.53297300,2.70345639,6.01182000
2026-01-01 10:30:00,BTCUSDT,94934.5640000000000000,8335985715.3428000000000000,3.08621051,2.53212200,2.70201681,0.70985600
2026-01-01 10:35:00,BTCUSDT,94931.8920000000000000,8334725828.7348000000000000,3.08403925,2.53252400,2.69989202,0.56904000
2026-01-01 10:40:00,BTCUSDT,94938.6860000000000000,8335725261.6391830000000000,3.08070734,2.53289600,2.69720437,1.27343100
2026-01-01 10:45:00,BTCUSDT,94931.1120000000000000,8335085841.6688140000000000,3.08024640,2.53330800,2.69483849,0.82635700
2026-01-01 10:50:00,BTCUSDT,94939.7690000000000000,8339539551.4044075000000000,3.07767031,2.53296900,2.69468868,2.85192900
2026-01-01 10:55:00,BTCUSDT,94938.5750000000000000,8338821628.2943260000000000,3.07912373,2.53437500,2.69491160,1.67773100
2026-01-01 11:00:00,BTCUSDT,94930.4570000000000000,8339315556.9969120000000000,3.07918429,2.53410000,2.69763651,2.50989500
2026-01-01 11:05:00,BTCUSDT,94950.8750000000000000,8341587885.9513760000000000,3.08016754,2.53462400,2.69948199,1.22931800
2026-01-01 11:10:00,BTCUSDT,95019.9750000000000000,8352236010.1147650000000000,3.07538172,2.53215100,2.69789345,2.00691900
2026-01-01 11:15:00,BTCUSDT,95050.1590000000000000,8354908976.1000000000000000,3.07161072,2.53068500,2.69253045,2.44917000
2026-01-01 11:20:00,BTCUSDT,95042.0360000000000000,8354030567.8142800000000000,3.06969456,2.53075200,2.69010043,0.77937100
2026-01-01 11:25:00,BTCUSDT,95043.2970000000000000,8353374381.9894000000000000,3.06533356,2.52999300,2.68599818,0.21078600
2026-01-01 11:30:00,BTCUSDT,95035.2590000000000000,8351863733.4821670000000000,3.06275033,2.52984800,2.68301238,0.86560000
2026-01-01 11:35:00,BTCUSDT,95040.0740000000000000,8348975876.6706000000000000,3.06305818,2.53102500,2.68419796,0.46481300
2026-01-01 11:40:00,BTCUSDT,95035.1390000000000000,8351831490.8330050000000000,3.05978986,2.53107900,2.68095760,1.49804800
2026-01-01 11:45:00,BTCUSDT,95051.7980000000000000,8357638913.9005575000000000,3.05720595,2.53104000,2.67816557,2.89587400
2026-01-01 11:50:00,BTCUSDT,95012.8190000000000000,8356101893.8749000000000000,3.05944639,2.53181000,2.68148113,1.57955800
2026-01-01 11:55:00,BTCUSDT,95020.7270000000000000,8360025585.4901400000000000,3.05217391,2.53025900,2.67634736,1.37078000
2026-01-01 12:00:00,BTCUSDT,94993.9180000000000000,8357944881.3120000000000000,3.04824890,2.52811200,2.67177206,0.92708000
2026-01-01 12:05:00,BTCUSDT,95012.7250000000000000,8359523586.2200000000000000,3.04444722,2.52440700,2.67163327,1.25609700
2026-01-01 12:10:00,BTCUSDT,94999.2390000000000000,8356123562.5161000000000000,3.03568613,2.52284600,2.66590617,1.23332000
2026-01-01 12:15:00,BTCUSDT,94979.7220000000000000,8352431270.9302000000000000,3.02747048,2.52249200,2.65643154,0.63559200
2026-01-01 12:20:00,BTCUSDT,94999.7480000000000000,8354382338.8428000000000000,3.01537762,2.51960300,2.64537414,0.83169600
2026-01-01 12:25:00,BTCUSDT,95010.5720000000000000,8357357938.4928000000000000,3.01305785,2.52017200,2.64286558,1.69175000
